Tipo de encuesta;Nombre Encuesta;FechaFinParticipación;idParticipacion;FechaParticipacion;Marque NO, en caso de no querer realizar esta encuesta y querer darse de baja en la lista de distribución que se emplea para invitarle a participar en encuestas de satisfacción relacionadas con el servicio que presta la Biblioteca Musical Víctor Espinós.;¿Es usuario habitual?;¿Con qué frecuencia acude a la Biblioteca Musical Víctor Espinós?;¿Qué servicios de la Biblioteca Musical Víctor Espinós utiliza habitualmente? Seleccione todos los que utilice.;¿Qué documentos son los que más utiliza en la Biblioteca Musical Víctor Espinós? Seleccione todos los que utilice.;¿Ha utilizado el servicio de préstamo de documentos?;Queremos conocer qué opinión le merece el servicio de préstamo de documentos. Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10, que está muy satisfecho.;¿Ha utilizado el Servicio de Reprografía de la Biblioteca Musical Víctor Espinós?;Queremos conocer qué opinión le merece el Servicio de Reprografía. Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10, que está muy satisfecho;¿Ha participado en alguna actividad organizada por la Biblioteca Musical Víctor Espinós (conciertos, visitas guiadas, exposiciones, conferencias, talleres, presentaciones, etc.)?;¿Qué grado de satisfacción le merecen las actividades culturales? Puntúe de 0 a 10, siendo 0 que está muy insatisfecho y 10 que está muy satisfecho. (Opciones de selección única);¿Conoce la página web de la Biblioteca Musical Víctor Espinós?;La actualización de la información y los contenidos;Acceso al catálogo en línea;Búsquedas en el catálogo en línea;El edifico y las instalaciones;El trato recibido por el personal;El préstamo de instrumentos;La ordenación de la colección de libre acceso;La colección (libros, partituras, audiovisuales);La adecuación de la colección a sus necesidades;Tiempo de espera en la entrega de fondos ubicados en el depósito.;La información general y especializada recibida tras una consulta;El uso de la red wifi;Las condiciones de los pianos e instrumentos de las cabinas de ensayo;¿Cuál es su valoración general de la Biblioteca Musical Víctor Espinós y sus servicios? Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10 que está muy satisfecho.;¿Qué tipo de material considera que se debería adquirir prioritariamente para mejorar el fondo de la Biblioteca Musical Víctor Espinós?(Seleccione todos los que considere necesarios).;"Si ha contestado ""Otros"" indiquemos cuáles.";De manera global, el servicio prestado por la Biblioteca Musical Víctor Espinós ha sido:;¿Qué medidas sugiere para mejorar la calidad de los servicios de la Biblioteca Musical Víctor Espinós del Ayuntamiento de Madrid?;¿En cuál de los siguientes grupos de edad se encuentra usted?;Gracias por su colaboración.;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190286;2021-11-23 18:39:26. 0;Iniciar la encuesta;Sí;Varias veces al año;Servicio de préstamo de instrumentos musicales a domicilio;NS/NC;No;;No;;No;;Sí;No sabe;No sabe;No sabe;8;9;9;NS/NC;No sabe;No sabe;No sabe;9;No sabe;No sabe;9;Otros;Instrumentos;Igual que lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190287;2021-11-23 18:43:5. 0;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo (libros, partituras, audiovisuales);"Libros;Audiovisuales (dvd, cd)";No;;No;;No;;Sí;9;9;9;9;10;9;9;9;8;8;9;9;NS/NC;9;"Libros;Audiovisuales (dvd, cd);Libros infantiles relacionados con la música";;Mejor de lo que esperaba;No se me ocurre ninguna;Más de 65 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190296;2021-11-23 19:12:28. 0;Iniciar la encuesta;Sí;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;NS/NC;No;;No;;No;;Sí;8;No sabe;No sabe;9;10;10;9;No sabe;No sabe;No sabe;No sabe;No sabe;NS/NC;10;NS/NC;no he utilizado el servicio de documentación;Igual que lo que esperaba;En mi caso, tengo dos hijas que necesitan un instrumento y solo se concede un préstamo por familia. Necesitaría uno para cada una. El servicio de préstamo es fantástico para el aprendizaje. Yo lo empleé hace 35 años con elevada satisfacción.;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190300;2021-11-23 19:52:26. 0;Iniciar la encuesta;Sí;Una vez al mes;"Servicio de préstamo de instrumentos musicales a domicilio;Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";NS/NC;No;;No;;Sí;10;No;;;;9;9;10;9;9;9;No sabe;9;NS/NC;No sabe;9;Partituras;;Mejor de lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190306;2021-11-23 21:34:41. 0;Iniciar la encuesta;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";"Partituras;Libros";Sí;8;No;;Sí;8;Sí;7;7;7;9;9;8;8;8;8;8;9;NS/NC;5;8;"Libros;Partituras";;Igual que lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190310;2021-11-23 22:30:20. 0;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;NS/NC;No;;No;;No;;Sí;10;10;10;10;10;10;10;10;10;10;10;10;NS/NC;10;NS/NC;;Mejor de lo que esperaba;;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190313;2021-11-23 23:0:4. 0;Iniciar la encuesta;Sí;Varios días a la semana;Servicio de cabinas de ensayo;NS/NC;No;;No;;Sí;8;Sí;No sabe;No sabe;No sabe;10;10;No sabe;9;8;7;NS/NC;No sabe;No sabe;No sabe;9;"Libros;Partituras;Audiovisuales (dvd, cd);Revistas especializadas;Libros infantiles relacionados con la música";;Mejor de lo que esperaba;Poder usar una cabina de ensayo en una hora en que nadie ha reservado y se va a quedar inutilizada. Por otro lado, creo que, parece que está funcionando el sistema de reservar online.;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190316;2021-11-23 23:9:52. 0;Iniciar la encuesta;Sí;Varios días al mes;"Servicio de préstamo (libros, partituras, audiovisuales);Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";"Libros;Audiovisuales (dvd, cd);Revistas especializadas;Libros infantiles relacionados con la música;Colecciones especiales (programas de concierto, Quijotes musicales?)";No;;No;;Sí;9;Sí;8;8;8;10;9;8;8;8;8;8;8;8;NS/NC;9;"Libros;Revistas especializadas;Libros infantiles relacionados con la música";;Igual que lo que esperaba;Muchas veces devuelves un libro y hay errores...pues en varias ocasiones al intentar sacar más libros o revistas, aparece como si el libro entregado aún lo tuviera yo....ha sido necesario comprobar si estaba en sala y posteriormente solucionar la incidencia. Al final lis libros estaban devueltos y en la biblioteca, pero corregir y verificar esto lleva tiempo. El error será del sistema...pero es pesado para el usuario.;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190317;2021-11-23 23:44:26. 0;Iniciar la encuesta;No;Varias veces al año;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Servicio de reproducción de documentos (fotocopias, digitalización)";"Partituras;Libros";No;;No;;No;;Sí;8;8;8;9;9;No sabe;No sabe;9;No sabe;10;9;No sabe;NS/NC;8;"Libros;Partituras;Otros";Partituras de Canto, Danza y más Zarzuela. Sobre todo de aquéllas editadas a partir de 1970.;Mejor de lo que esperaba;Considero que debería ser la clara competencia a la SGAE que se ha vuelto un entorno totalmente CORRUPTO y antidemocrático, así como a todos los Conservatorios de Música, Danza y Arte Dramático cuyas bibliotecas tienen desorden y desorganización por no hablar del CERO cuidado a su legado.;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190326;2021-11-24 6:35:0. 0;Iniciar la encuesta;No;Varias veces al año;Servicio de préstamo (libros, partituras, audiovisuales);"Libros;Audiovisuales (dvd, cd)";Sí;10;No;;No;;No;;;;10;10;1;10;10;NS/NC;10;10;10;No sabe;10;Audiovisuales (dvd, cd);;Igual que lo que esperaba;;Más de 65 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190329;2021-11-24 7:51:41. 0;Iniciar la encuesta;No;Ocasionalmente;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo";Partituras;Sí;10;No;;No;;Sí;10;10;10;10;10;No sabe;10;10;10;10;10;NS/NC;10;10;Partituras;;Mejor de lo que esperaba;;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190435;2021-11-24 11:0:25. 0;Iniciar la encuesta;No;Ocasionalmente;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de préstamo de instrumentos musicales a domicilio";"Partituras;Libros infantiles relacionados con la música";No;;No;;No;;Sí;10;9;9;10;10;10;10;10;10;10;10;10;NS/NC;10;Libros infantiles relacionados con la música;;Mejor de lo que esperaba;;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190486;2021-11-24 14:21:16. 0;Iniciar la encuesta;No;Varias veces al año;"Servicio de préstamo (libros, partituras, audiovisuales);Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";Partituras;No;;Sí;5;Sí;8;No;;;;10;8;NS/NC;9;8;7;8;8;10;8;7;"Libros;Partituras;Audiovisuales (dvd, cd)";;Igual que lo que esperaba;Amabilidad del personal y buena disposición en su trabajo;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190491;2021-11-24 14:51:41. 0;Iniciar la encuesta;Sí;Varios días al mes;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Servicio de préstamo de instrumentos musicales a domicilio";Partituras;Sí;10;No;;No;;No;;;;10;10;10;10;8;8;No sabe;9;NS/NC;No sabe;9;"Libros;Partituras";;Mejor de lo que esperaba;;De 18 a 29 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190507;2021-11-24 17:56:44. 0;Iniciar la encuesta;No;Varias veces al año;Servicio de cabinas de ensayo;Libros;No;;Sí;10;No;;Sí;8;8;8;10;10;10;10;10;10;10;10;10;NS/NC;10;Libros;;Mejor de lo que esperaba;Que siga como hasta ahora;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190518;2021-11-24 20:7:0. 0;Iniciar la encuesta;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";Libros;No;;No;;Sí;10;Sí;9;No sabe;No sabe;6;10;No sabe;8;8;NS/NC;No sabe;10;No sabe;10;10;Libros;Idiomas aplicados a la música.;Mejor de lo que esperaba;;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190520;2021-11-24 20:55:17. 0;Iniciar la encuesta;Sí;Varios días a la semana;Servicio de cabinas de ensayo;Partituras;No;;No;;No;;Sí;No sabe;No sabe;No sabe;10;10;5;NS/NC;10;9;10;10;10;10;5;Partituras;;Igual que lo que esperaba;Prestar instrumentos más de 1h30 mins cada dos dias porque como estudiante de 6to de profesional de piano resulta imposible con ese tiempo de estudio llegar a completar las obras necesarias para aprobar el curso y no tiene ningun sentido que no se pueda dias seguidos o más tiempo que una hora y media y encima sin contar con los fines de semana. Cualquiera que haya estudiado la carrera de pianista sabe que una hora y media cada dos dias es un tiempo de estudio lamentable.;Menos de 18 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190535;2021-11-25 7:7:11. 0;Iniciar la encuesta;Sí;Varios días al mes;Servicio de cabinas de ensayo;Partituras;No;;No;;No;;Sí;No sabe;No sabe;No sabe;8;8;No sabe;8;6;6;7;8;NS/NC;No sabe;7;"Libros;Partituras";;Igual que lo que esperaba;La temperatura de las salas de ensayo no se puede regular, lo que genera excesivo calor, paradojicamente más acusado en los dias de frio exterior.;Más de 65 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190668;2021-11-25 13:58:47. 0;Iniciar la encuesta;Sí;Varios días al mes;Servicio de cabinas de ensayo;Partituras;No;;No;;Sí;10;No;;;;9;6;No sabe;8;8;8;NS/NC;6;No sabe;10;10;"Libros;Partituras";;Mejor de lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190722;2021-11-26 2:17:55. 0;Iniciar la encuesta;Sí;Una vez al mes;Servicio de préstamo (libros, partituras, audiovisuales);"Partituras;Audiovisuales (dvd, cd)";Sí;9;No;;No;;No;;;;8;8;No sabe;8;8;8;No sabe;8;8;NS/NC;8;Partituras;;Mejor de lo que esperaba;Incorporar instrumentos de perciusion en las salas de estudio;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190771;2021-11-26 12:55:9. 0;Iniciar la encuesta;No;Varias veces al año;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de préstamo de instrumentos musicales a domicilio";Partituras;No;;No;;No;;Sí;7;8;8;10;10;10;NS/NC;9;9;9;10;9;9;9;Partituras;;Mejor de lo que esperaba;;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190789;2021-11-26 14:57:38. 0;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo (libros, partituras, audiovisuales);"Partituras;Libros";No;;No;;No;;No;;;;7;8;NS/NC;8;7;8;9;9;No sabe;No sabe;9;"Libros;Partituras";;No sabe;;Más de 65 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190813;2021-11-27 2:6:2. 0;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo (libros, partituras, audiovisuales);"Partituras;Libros";Sí;9;No;;No;;Sí;7;7;7;9;10;9;10;9;9;9;No sabe;9;NS/NC;9;"Partituras;Audiovisuales (dvd, cd)";;Mejor de lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190850;2021-11-28 11:2:9. 0;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190894;2021-11-29 12:45:37. 0;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo (libros, partituras, audiovisuales);"Partituras;Libros;Audiovisuales (dvd, cd)";Sí;10;Sí;8;No;;No;;;;9;9;NS/NC;9;9;10;10;10;10;10;9;"Libros;Partituras;Audiovisuales (dvd, cd);Libros infantiles relacionados con la música";;Igual que lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190919;2021-11-29 14:35:19. 0;Iniciar la encuesta;Sí;Varios días al mes;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";Partituras;Sí;8;No;;Sí;9;Sí;6;5;No sabe;9;7;8;No sabe;8;6;No sabe;NS/NC;1;8;6;Partituras;;Igual que lo que esperaba;libertad de poder tener dias seguidos en las cabinas individuales de ensayio ,de poder venir 2 dias seguidos,no estoy de acuerdo en que deba dejar 1 dia sin venir;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;191441;2021-12-1 13:13:19. 0;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo (libros, partituras, audiovisuales);Partituras;Sí;8;No;;No;;Sí;4;4;4;9;10;NS/NC;8;7;5;8;5;5;5;8;Partituras;;No contesta;Mas partituras.;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;191603;2021-12-1 19:32:25. 0;Iniciar la encuesta;Sí;Una vez al mes;Servicio de préstamo (libros, partituras, audiovisuales);"Partituras;Libros";Sí;9;No;;Sí;9;Sí;8;9;9;9;10;No sabe;8;9;8;9;8;No sabe;NS/NC;9;"Libros;Revistas especializadas";;Mejor de lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;191628;2021-12-2 0:50:16. 0;Iniciar la encuesta;Sí;Ocasionalmente;Servicio de préstamo (libros, partituras, audiovisuales);Audiovisuales (dvd, cd);No;;No;;No;;No;;;;8;9;NS/NC;9;9;9;No sabe;5;2;1;6;"Audiovisuales (dvd, cd);Revistas especializadas";;Igual que lo que esperaba;Más material audiovisual.;Más de 65 años;NS/NC;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.1;;44517;1;Sí;Varios días al mes;Servicio de cabinas de ensayo;Partituras;No;10;No;;No;;Sí;10;No sabe;No sabe;10;10;NS/NC;NS/NC;NS/NC;NS/NC;NS/NC;10;NS/NC;NS/NC;10;Partituras;;Mejor de lo que esperaba;;Más de 65 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.2;;44517;2;Sí;Varias veces al año;"Servicio de cabinas de ensayo ; Servicio de información general y especializada";"Partituras ; Libros";No;;No;;Sí;10;Sí;9;No sabe;No sabe;10;10;NS/NC;10;10;10;NS/NC;10;NS/NC;7;9;Otros;No sé;Mejor de lo que esperaba;"Cuidar más los pianos; habilitar lista de espera si están tomados todos los turnos de cabina de instrumentos y alguien no se presenta";De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.3;;44517;3;Sí;Varios días al mes;"Servicio de préstamo (libros, partituras, audiovisuales) ; Servicio de cabinas de ensayo";Parituras;Sí;10;No;;No;;Sí;10;No sabe;No sabe;10;10;10;7;8;8;8;NS/NC;8;8;8;Partituras;;Mejor de lo que esperaba;;De 18 a 29 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.4;;44518;4;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales) ; Servicio de cabinas de ensayo ; Actividades culturales (conciertos, visitas guiadas, exposiciones. Conferencias, talleres, etc. )";"Partituras ; Libros";Sí;8;No;;Sí;9;Sí;8;No sabe;No sabe;9;9;NS/NC;9;9;9;NS/NC;9;NS/NC;10;9;Partituras;;Igual que lo que esperaba;;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.5;;44518;5;No;Varias veces al año;Servicio de cabinas de ensayo;;No;;No;;No;;Sí;8;8;8;10;10;;;;;;;;7;9;;;Igual que lo que esperaba;"Poder aprovechas más los huecos libres de las cabinas con piano ; afinación de los pianos";De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.6;;44518;6;No;Varias veces al año;Servicio de cabinas de ensayo;;No;;No;;No;;Sí;8;No sabe;No sabe;10;10;NS/NC;NS/NC;10;NS/NC;NS/NC;10;NS/NC;8;10;Otros;Instrumentos para préstamo;Mejor de lo que esperaba;;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.7;;44518;7;No;Varios días al mes;"Servicio de préstamo (libros, partituras, audiovisuales) ; Servicio de cabinas de ensayo";"Partituras ; Libros";No;;No;;No;;Sí;10;;;10;10;NS/NC;NS/NC;NS/NC;NS/NC;NS/NC;NS/NC;NS/NC;10;10;;;Mejor de lo que esperaba;;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.8;;44518;8;Sí;Varios días a la semana;Servicio de cabinas de ensayo;Partituras;No;;No;;Sí;10;Sí;10;No sabe;10;10;10;10;No sabe;No sabe;No sabe;No sabe;No sabe;10;10;10;Partituras;;Mejor de lo que esperaba;"Aumentar el periodo de reserva de los instrumentos ; aumentar el tiempo de uso de los instrumentos si no hay ingún usuario en el siguiente turno";De 18 a 29 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.9;;2021-11-19;9;Sí;Varios días al mes;"Servicio de préstamo (libros, partituras, audiovisuales) ; Servicio de cabinas de ensayo";Partituras;Sí;10;No;;No;;Sí;10;No sabe;No sabe;10;10;10;10;8;8;9;10;7;9;9;Partituras;;Mejor de lo que esperaba;"cuidado sillas piano ; un correo para recordar devolver los libros ";De 18 a 29 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.10;;19/11/2021;10;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales) ; Servicio de cabinas de ensayo";Libros;No;;No;;Sí;10;Sí;10;No sabe;No sabe;10;10;No sabe;10;10;10;No sabe;10;3;6;8;;;Mejor de lo que esperaba;;De 18 a 29 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.11;;19/11/2021;11;;Varios días al mes;Servicio de cabinas de ensayo;"Partituras;Audiovisuales (dvd, cd)";No;;Sí;10;No;;No;;;;10;10;No sabe;7;No sabe;7;No sabe;No sabe;6;10;10;"Libros;Partituras;Audiovisuales (dvd, cd)";;Mejor de lo que esperaba;;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.12;;44519;12;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales) ; Servicio de cabinas de ensayo";"Partituras ; Libros";Sí;10;No;;No;;Sí;No sabe;No sabe;No sabe;9;9;No sabe;7;8;9;No sabe;9;No sabe;No sabe;9;;;Igual que lo que esperaba;"Permitir el acceso a las cabinas de ensayo diariamente; ampliar el tiempo de uso de las cabinas; poder programar la reserva de varios días";De 18 a 29 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.13;;44522;13;Sí;Varios días al mes;Servicio de cabinas de ensayo;;No;;No;;No;;Sí;8;8;8;8;9;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;8;9;8;Partituras;;Mejor de lo que esperaba;;De 18 a 29 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.14;;44522;14;No;;Servicio de cabinas de ensayo;;No;;No;;No;;No;;;;9;10;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;;2;9;;;;;De 30 a 44 años;Es la primer día que viene a la Biblioteca;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.15;;44522;15;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales) ; Servicio de cabinas de ensayo";"Partituras ; Libros";Sí;10;No;;Sí;9;Sí;9;9;9;10;10;10;10;10;10;10;10;10;10;10;;;Mejor de lo que esperaba;;Más de 65 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.16;;44523;16;Sí;Varios días a la semana;Servicio de cabinas de ensayo;;No;;No;;No;;Sí;10;10;10;10;10;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;10;;;;;;;;
